Ordem,Curso,Disciplina,Horario,CH,Professor(a)
1,Matemática,Álgebra Linear,21532/41532/61532,96,Carlos Antônio Dornellas
2,Matemática,Análise na Reta,21332/41332,64,Carlos Antônio Dornellas
3,Matemática,Cálculo Diferencial e Integral I,21332/41332/61332,96,Carlos Antônio Dornellas
4,Matemática,Cálculo Diferencial e Integral II,21332/41332/61332,96,Carlos Antônio Dornellas
5,Matemática,Cálculo Diferencial e Integral III,21332/41332/61332,96,
6,Matemática,Cálculo Numérico,21332/41332,64,
7,Matemática,Construções Geométricas,31532,32,
8,Matemática,Didática da Matemática,31532/61532,64,
9,Matemática,Educação Financeira,21532/ 51332,64,
10,Matemática,Educação Matemática I,21533/41533,96,
11,Matemática,Educação Matemática II,31533/51533,96,
12,Matemática,Educação Matemática III,31533/51533,96,
13,Matemática,Equações Diferenciais Ordinárias,21332/41332,64,
14,Matemática,Estruturas Algébricas I,31332/51332,64,
15,Matemática,Fundamentos da Matemática I: Números e Funções,21332/41332/61332,96,
16,Matemática,Fundamentos da Matemática II: Geometria Euclidiana,31332/61532,64,
17,Matemática,Fundamentos da Matemática III: Análise Combinatória,31332/51332,64,
18,Matemática,História e Filosofia da Matemática,31332/ 51332,64,
19,Matemática,Metodologia do Trabalho Científico,21532,32,
20,Matemática,Modelagem Matemática,31332/51332,64,
21,Matemática,Práticas de Tecnologias para o Ensino de Matemática I,31332/51332,64,
22,Matemática,Práticas de Tecnologias para o Ensino de Matemática II,31532/51532,64,
23,Matemática,Práticas para o Ensino de Matemática,21332/41334,96,
24,Matemática,TCC I,31731/51731,32,
25,Matemática,TCC II,21731/41731,32,
26,Matemática,Vetores e Geometria Analítica B,21532/ 41532/61532,96,
27,Agronomia,Matemática,20932/41332/50932,96,
28,Ciências Biológicas Bach.,Cálculo I,20932/50932,64,
29,Ciência e Tec. de Alimentos,Introdução ao Cálculo,31804,64,
30,Ciência da Computação,Cálculo I,31332/51332/61332,96,
31,Ciência da Computação,Cálculo II,21332/41332/61332,96,
32,Ciência da Computação,Introdução a Algebra Linear,41904,64,
33,Ciência da Computação,Vetores e Geometria Analítica A,31532/51532,64,
34,Ciência da Computação,Vetores e Geometria Analítica A (EXTRA),31904,64,
35,Eng. Civil,Vetores e Geometria Analítica A,20932/40732,64,
36,Eng. Civil,Cálculo I,40932/60732,64,
37,Eng. Civil,Cálculo II,41532/51532,64,
38,Eng. Civil,Cálculo III,20732/40932,64,
39,Eng. Elétrica,Cálculo Diferencial e Integral I,20732/40932,64,
40,Eng. Elétrica,Cálculo Diferencial e Integral II,20732/40932,64,
41,Eng. Elétrica,Cálculo Diferencial e Integral III,20732/40932,64,
42,Eng. Elétrica,Cálculo IV,40732/50932,64,
43,Eng. Elétrica,Vetores e geometria Analitica,20932/50732,64,
44,Eng. Elétrica,Introdução à álgebra Linear,20932/40732,64,
45,Eng. Florestal,Cálculo Diferencial e Integral I,20932/40732,64,
46,Eng. Florestal,Geometria Analítica e Álgebra Linear,61334,64,
47,Eng. Sanitária,Cálculo Diferencial e Integral I,20732/40732,64,
48,Eng. Sanitária,Cálculo Diferencial e Integral II,21332/51332,64,
49,Eng. Sanitária,Vetores e Geometria Analítica A,20932/50732,64,
50,Eng. Sanitária,Álgebra Linear I,21532/61532,64,
51,Estatística,Cálculo I,41904/61902,96,
52,Estatística,Cálculo II,41904/61902,96,
53,Estatística,Cálculo III,41904/61902,96,
54,Estatística,Vetores e Geometria analítica B,51904/62102,96,
55,Estatística,Introdução a Álgebra Linear,51904,64,
56,Física Bach e Licenc.,Álgebra Linear I,20932/40732,64,
57,Física Bach e Licenc.,Álgebra Linear II,20932/40732,64,
58,Física Bacharelado,Cálculo I,21332/41332/61332,96,
59,Física Licenciatura,Cálculo I,20732/40932/60732,96,
60,Física Bach e Licenc.,Cálculo II,20732/40932/60732,96,
61,Física Bach e Licenc.,Cálculo III,20732/40932/60732,96,
62,Física Bach e Licenc.,Equações Diferenciais,40932/60732,64,
63,Física Bach e Licenc.,Cálculo Numérico,31532/51532,64,
64,Geologia,Intriodução ao Cálculo,40734,64,
65,Química Licenc. e Bach.,Cálculo Diferencial e Integral I,31832/51832,64,
66,Química Licenc. e Bach.,Vetores e Geometria Analítica,51332/61332,64,
67,Química Licenc. e Bach.,Cáculo Diferencial e Integral II,31832/41832,64,
68,Química Bacharelado,Cálculo Diferencial e Integral III,41832/61532,64,
69,Sistema de Informação,Álgebra Linear,41904,60,
70,Sistema de Informação,Matemática Discreta,21904,60,
71,Zootecnia,Pré-Cálculo,20932,32,
